time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-29T21:45:14.940Z,33.4826667,-116.429,9.68,2.55,ml,91,26,0.04072,0.18,ci,ci40334032,2022-11-06T04:37:52.040Z,"23km SSW of La Quinta, CA",earthquake,0.12,0.29,0.232,26,reviewed,ci,ci
2022-08-25T07:32:51.460Z,33.3161667,-116.3506667,11.56,3.27,ml,121,14,0.01736,0.2,ci,ci40331312,2022-11-01T15:14:07.040Z,"7km NNE of Borrego Springs, CA",earthquake,0.12,0.36,0.155,156,reviewed,ci,ci
2022-08-22T22:12:09.160Z,33.777,-116.9925,17.39,2.56,ml,87,26,0.0371,0.16,ci,ci40329976,2022-11-01T15:12:54.040Z,"3km WSW of San Jacinto, CA",earthquake,0.13,0.3,0.187,24,reviewed,ci,ci
2022-08-21T11:02:38.290Z,33.3441667,-116.3615,11.44,2.61,ml,108,14,0.01802,0.2,ci,ci40329176,2022-11-01T15:12:41.040Z,"10km N of Borrego Springs, CA",earthquake,0.12,0.25,0.156,135,reviewed,ci,ci
2022-08-08T03:27:10.480Z,33.3693333,-116.9723333,5.44,2.5,ml,124,20,0.05352,0.25,ci,ci40077271,2022-10-21T23:19:03.040Z,"10km E of Pala, CA",earthquake,0.12,0.48,0.128,35,reviewed,ci,ci
2022-08-07T12:11:58.680Z,33.3428333,-116.2025,12.37,2.6,ml,109,19,0.09174,0.16,ci,ci40076879,2022-10-21T23:18:47.040Z,"17km SW of Oasis, CA",earthquake,0.1,0.4,0.143,112,reviewed,ci,ci
2022-07-13T16:01:36.530Z,33.3111667,-116.3316667,11.68,3.27,ml,106,15,0.0543,0.19,ci,ci40303048,2022-09-24T21:25:44.040Z,"7km NNE of Borrego Springs, CA",earthquake,0.11,0.26,0.165,113,reviewed,ci,ci
2022-06-23T00:20:24.790Z,33.3865,-116.4385,12.09,2.73,ml,104,13,0.08438,0.2,ci,ci40289408,2022-08-28T03:20:19.040Z,"16km NNW of Borrego Springs, CA",earthquake,0.12,0.39,0.198,25,reviewed,ci,ci
2022-06-13T09:45:10.910Z,33.5033333,-116.4615,5.64,2.55,ml,111,19,0.03599,0.19,ci,ci40039327,2022-08-21T00:16:46.040Z,"20km ESE of Anza, CA",earthquake,0.1,0.33,0.169,25,reviewed,ci,ci
2022-06-03T10:40:29.910Z,33.2338333,-116.6641667,10.94,3.68,ml,154,15,0.03738,0.2,ci,ci40032983,2022-08-06T22:13:22.040Z,"6km SSW of Warner Springs, CA",earthquake,0.1,0.38,0.189,182,reviewed,ci,ci
2022-05-20T11:53:55.270Z,33.2318333,-116.2773333,10.62,2.53,ml,111,18,0.04367,0.19,ci,ci40023071,2022-07-24T02:40:36.040Z,"10km ESE of Borrego Springs, CA",earthquake,0.1,0.26,0.165,24,reviewed,ci,ci
2022-05-19T12:52:00.230Z,33.5018333,-116.504,13.99,2.7,ml,110,27,0.05993,0.19,ci,ci40022359,2022-07-24T02:40:20.040Z,"17km ESE of Anza, CA",earthquake,0.12,0.21,0.151,24,reviewed,ci,ci
2022-05-13T13:32:36.610Z,33.342,-116.8575,7.37,3.48,mw,153,12,0.01236,0.23,ci,ci40017591,2022-07-22T18:30:54.040Z,"2km SSE of Palomar Observatory, CA",earthquake,0.1,0.44,,4,reviewed,ci,ci
2022-05-11T07:25:19.250Z,33.4798333,-116.4855,14.33,2.57,ml,105,26,0.06622,0.21,ci,ci40256064,2022-07-22T18:30:48.040Z,"19km ESE of Anza, CA",earthquake,0.13,0.21,0.148,109,reviewed,ci,ci
2022-04-14T06:33:40.730Z,33.3633333,-116.3625,3.28,2.58,ml,105,16,0.03671,0.19,ci,ci39992023,2022-06-20T22:08:11.040Z,"12km N of Borrego Springs, CA",earthquake,0.11,0.25,0.159,114,reviewed,ci,ci
